name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN,year,age,make,model
2008 LAND ROVER RANGE ROVER Supercharged V8 No Accident Pearl White,13900,Vancouver,https://www.craigslist.org/view/d/vancouver-2008-land-rover-range-rover/moU8pz92T6aY89bxtYmnu7,like new,8.0,4wd,gas,115000,white,clean,automatic,SUV,,2008.0,18.0,Land Rover,Range Rover
"2003 Audi A4 3.0L V6 Cabriolet Convertible — 194,000 km — Clean Title",4000,Burnaby,https://www.craigslist.org/view/d/burnaby-2003-audi-a4-30l-v6-cabriolet/dSeRXZEuW5FBnt2DpKrv23,,6.0,,gas,194000,grey,clean,automatic,,,2003.0,23.0,Audi,Cabriolet
2008 Daihatsu Tanto,7800,Richmond,https://www.craigslist.org/view/d/richmond-2008-daihatsu-tanto/h5eoLv2qLPWcvC6Xn4nCoJ,like new,3.0,fwd,gas,100000,black,clean,automatic,wagon,,2008.0,18.0,,
"2012 Kia Sorento LX V6 | Local BC Vehicle | Full Service Records | $3,",3999,richmond,https://www.craigslist.org/view/d/richmond-2012-kia-sorento-lx-v6-local/8yCX429viyJmRMo1kE28rZ,,6.0,4wd,gas,304293,,clean,automatic,SUV,5XYKTDA21CG271624,2012.0,14.0,Kia,Sorento
2009 Toyota Matrix | Local BC Vehicle | No Accidents | Service Done |,7999,richmond,https://www.craigslist.org/view/d/richmond-2009-toyota-matrix-local-bc/tPvuwFwNgzX7FbiK85RFmW,,4.0,,gas,255441,red,clean,automatic,sedan,2T1KU40E59C050931,2009.0,17.0,Toyota,Matrix
"2016 Hyundai Elantra GT FWD – Low KM – Great Price – $7,999",7998,city of vancouver,https://www.craigslist.org/view/d/richmond-2016-hyundai-elantra-gt-fwd/aUPLhcmVTozUMtWdXAUb96,,4.0,fwd,gas,167791,brown,clean,automatic,hatchback,KMHD25LH3GU261969,2016.0,10.0,Hyundai,Elantra GT
2012 WHITE RAM VAN C/V...,3350,Vancouver BC,https://www.craigslist.org/view/d/vancouver-2012-white-ram-van-v/hEJ3668tcY2Kq62KqPZRon,good,6.0,fwd,gas,352500,white,clean,automatic,van,,2012.0,14.0,Ram,
2012 WHITE RAM VAN C/V... Long Weekend OFFERS!,3350,Vancouver BC,https://www.craigslist.org/view/d/vancouver-2012-white-ram-van-v-long/7C6dTAfSBfTXn9dxu5MNmh,good,6.0,fwd,gas,352500,white,clean,automatic,van,,2012.0,14.0,Ram,
Rare 2008 Audi A4 2.0T S-Line,6900,Richmond,https://www.craigslist.org/view/d/richmond-rare-2008-audi-a4-20t-line/fKARqKM2oLc7aHr6qnVoxs,excellent,4.0,4wd,gas,183000,black,clean,manual,sedan,,2008.0,18.0,Audi,A4
2001 Jeep Wrangler TJ,6000,Burquitlam,https://www.craigslist.org/view/d/coquitlam-north-2001-jeep-wrangler-tj/j53q4rwo3bG1RYhN6rKn4v,good,6.0,4wd,gas,331500,black,clean,manual,SUV,,2001.0,25.0,Jeep,Wrangler
2023 Dodge Durango R/T,55900,North Vancouver,https://www.craigslist.org/view/d/north-vancouver-2023-dodge-durango-t/duenwZfR5F76AQaN5fqwif,excellent,8.0,4wd,gas,28300,white,clean,automatic,SUV,,2023.0,3.0,Dodge,Durango
1991 vw westfalia 4 speed fully restored,28888,/Richmond,https://www.craigslist.org/view/d/richmond-west-1991-vw-westfalia-speed/5iZGpgUPBSj4k6u1H4dx9d,,4.0,rwd,gas,147000,,clean,manual,minivan,,1991.0,35.0,Volkswagen,
2005 Mercedes E350,4850,Richmond,https://www.craigslist.org/view/d/richmond-west-2005-mercedes-e350/6HxqQFLR2y7prciVVYpVH9,,,4wd,gas,169000,,clean,automatic,coupe,,2005.0,21.0,Mercedes-Benz,E 350
2006 Nissan Elgrand - Luxury Van with Built-in Kitchen 🌅,9000,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-upper-west-2006-nissan-elgrand/mSVZafa2LDY8auncGGWCdX,good,6.0,4wd,gas,147000,black,clean,automatic,van,,2006.0,20.0,Nissan,
2010 Honda Ridgeline RTL Top of the line model (RTL),15900,Burnaby,https://www.craigslist.org/view/d/burnaby-2010-honda-ridgeline-rtl-top-of/82VD6psxnHV651YzFQwGe4,excellent,6.0,4wd,gas,192349,black,clean,automatic,pickup,,2010.0,16.0,Honda,Ridgeline
