name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt,year,age,make,model,City (L/100 km),Highway (L/100 km),Combined (L/100 km),market,km_per_year,usage_ratio,usage_category,annual_fuel_cost
2018 Toyota Prius – Excellent Condition!,20500,100514.0,0,https://www.craigslist.org/view/d/north-vancouver-southwest-2018-toyota/nYERSDL4B3tfLju4FpNz8H,excellent,hybrid,white,clean,automatic,hatchback,,,North Vancouver,,,2018.0,8.0,Toyota,Prius,4.3,4.6,4.5,Japanese,12564.2,0.84,Average,1215.0
2010 Dodge Grand Caravan // Minivan // 7-Seater // Second-family owned,5100,213000.0,0,https://www.craigslist.org/view/d/new-westminster-2010-dodge-grand/7z2VTukMR4hqtKgcyWmmy7,excellent,gas,red,clean,automatic,minivan,6.0,fwd,New Westminster,,,2010.0,16.0,Dodge,Grand Caravan,14.2,9.9,12.3,American,13312.5,0.89,Average,3321.0
2008 Saturn Astra XR,3650,183000.0,0,https://www.craigslist.org/view/d/burnaby-2008-saturn-astra-xr/tdXhJbGh5neaboLu8hLZ9F,good,gas,,clean,manual,,4.0,,Burnaby,,,2008.0,18.0,Saturn,Astra,9.75,7.6,8.8,American,10166.7,0.68,Below Average,2376.0
🚗 2006 Lexus ES330 – Clean & Reliable Luxury Sedan,6800,192000.0,0,https://www.craigslist.org/view/d/surrey-upper-west-lexus-es330-clean/dknai4WdgqP8Xe6Zk1Wj4N,like new,gas,,clean,automatic,sedan,6.0,,Surrey,,,2006.0,20.0,Lexus,ES 330,13.0,8.7,11.0,Japanese,9600.0,0.64,Below Average,2970.0
1997 Suzuki Sidekick 4x4,2000,329250.0,0,https://www.craigslist.org/view/d/vancouver-1997-suzuki-sidekick-4x4/dpvqTQziZzqQJDuCTcY6od,fair,gas,white,clean,automatic,SUV,4.0,4wd,Vancouver,,,1997.0,29.0,Suzuki,Sidekick,11.9,9.95,11.0,Japanese,11353.4,0.76,Below Average,2970.0
"1993 Audi 80, manual transmission, 58.000km",8500,58000.0,0,https://www.craigslist.org/view/d/west-vancouver-west-1993-audi-80-manual/qYtMmiMUhuwS4qCEnWuHdc,excellent,gas,white,clean,manual,sedan,4.0,fwd,West Vancouver,,,1993.0,33.0,Audi,,,,,European,1757.6,0.12,Ultra Low/Weekend,
1996 Toyota Chaser (diesel) 83.000km,12800,83000.0,0,https://www.craigslist.org/view/d/west-vancouver-west-1996-toyota-chaser/fU91YxUBEddBRVkKyjAnqC,excellent,diesel,white,clean,automatic,sedan,4.0,rwd,West Vancouver,,,1996.0,30.0,Toyota,,,,,Japanese,2766.7,0.18,Ultra Low/Weekend,
2009 Mercedes Benz b200,1750,140000.0,0,https://www.craigslist.org/view/d/burnaby-2009-mercedes-benz-b200/wQ8yCjShnw41LHFfjrCiJh,,gas,,clean,automatic,,,,Burnaby,,,2009.0,17.0,Mercedes-Benz,B 200,10.7,8.399999999999999,9.8,European,8235.3,0.55,Below Average,2646.0
2016 FORD FOCUS SE 4 DOOR 4 CYL // NO ACCIDENTS // SERVICE RECORDS,4900,167.0,0,https://www.craigslist.org/view/d/surrey-upper-west-2016-ford-focus-se/epZHyKDGisRcqgtKDMfB9r,excellent,gas,,clean,automatic,hatchback,4.0,fwd,Surrey,,,2016.0,10.0,Ford,Focus,10.55,7.45,9.15,American,16.7,0.0,Ultra Low/Weekend,2470.0
"2010 Ford Escape - AWD -Back up Camera, Apple Car Play",4500,250082.0,0,https://www.craigslist.org/view/d/surrey-upper-west-2010-ford-escape-awd/64fGAzuGWa6Qkcm9897xZu,excellent,gas,grey,clean,automatic,SUV,4.0,4wd,Surrey,1FMCU9D73AKC86506,,2010.0,16.0,Ford,Escape,10.5,8.6,9.7,American,15630.1,1.04,Average,2619.0
"2010 Ford Escape - AWD -Back up Camera, Apple Car Play",4500,250000.0,0,https://www.craigslist.org/view/d/surrey-upper-west-2010-ford-escape-awd/sBGVPJpUcdjvpp89eNQwdt,excellent,gas,grey,clean,automatic,SUV,4.0,4wd,Surrey,1FMCU9D73AKC86506,,2010.0,16.0,Ford,Escape,10.5,8.6,9.7,American,15625.0,1.04,Average,2619.0
