name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt
2018 Toyota Prius – Excellent Condition!,20500,"100,514",0,https://www.craigslist.org/view/d/north-vancouver-southwest-2018-toyota/nYERSDL4B3tfLju4FpNz8H,excellent,hybrid,white,clean,automatic,hatchback,,,North Vancouver,,
2010 Dodge Grand Caravan // Minivan // 7-Seater // Second-family owned,5100,"213,000",0,https://www.craigslist.org/view/d/new-westminster-2010-dodge-grand/7z2VTukMR4hqtKgcyWmmy7,excellent,gas,red,clean,automatic,minivan,6 cylinders,fwd,New Westminster,,
2008 Saturn Astra XR,3650,"183,000",0,https://www.craigslist.org/view/d/burnaby-2008-saturn-astra-xr/tdXhJbGh5neaboLu8hLZ9F,good,gas,,clean,manual,,4 cylinders,,Burnaby,,
🚗 2006 Lexus ES330 – Clean & Reliable Luxury Sedan,6800,"192,000",0,https://www.craigslist.org/view/d/surrey-upper-west-lexus-es330-clean/dknai4WdgqP8Xe6Zk1Wj4N,like new,gas,,clean,automatic,sedan,6 cylinders,,Surrey,,
1997 Suzuki Sidekick 4x4,2000,"329,250",0,https://www.craigslist.org/view/d/vancouver-1997-suzuki-sidekick-4x4/dpvqTQziZzqQJDuCTcY6od,fair,gas,white,clean,automatic,SUV,4 cylinders,4wd,Vancouver,,
"1993 Audi 80, manual transmission, 58.000km",8500,"58,000",0,https://www.craigslist.org/view/d/west-vancouver-west-1993-audi-80-manual/qYtMmiMUhuwS4qCEnWuHdc,excellent,gas,white,clean,manual,sedan,4 cylinders,fwd,West Vancouver,,
1996 Toyota Chaser (diesel) 83.000km,12800,"83,000",0,https://www.craigslist.org/view/d/west-vancouver-west-1996-toyota-chaser/fU91YxUBEddBRVkKyjAnqC,excellent,diesel,white,clean,automatic,sedan,4 cylinders,rwd,West Vancouver,,
2009 Mercedes Benz b200,1750,"140,000",0,https://www.craigslist.org/view/d/burnaby-2009-mercedes-benz-b200/wQ8yCjShnw41LHFfjrCiJh,,gas,,clean,automatic,,,,Burnaby,,
1996 Dodge Caravan V3.0L,700,"192,179",0,https://www.craigslist.org/view/d/vancouver-1996-dodge-caravan-v30l/hpCeXqHsYKeLQQ3tNp66VB,good,gas,brown,clean,automatic,minivan,6 cylinders,fwd,Vancouver,,
2016 FORD FOCUS SE 4 DOOR 4 CYL // NO ACCIDENTS // SERVICE RECORDS,4900,167,0,https://www.craigslist.org/view/d/surrey-upper-west-2016-ford-focus-se/epZHyKDGisRcqgtKDMfB9r,excellent,gas,,clean,automatic,hatchback,4 cylinders,fwd,Surrey,,
