name,price,location,link,fuel,odometer,title status,transmission,condition,cylinders,drive,type,paint color
2009 Mercedes Benz b200,"$1,750",Burnaby,https://www.craigslist.org/view/d/burnaby-2009-mercedes-benz-b200/wQ8yCjShnw41LHFfjrCiJh,gas,"140,000",clean,automatic,,,,,
2014 Chevrolet Cruze LT,"$5,800",New Westminster,https://www.craigslist.org/view/d/new-westminster-southwest-2014/mUqGs8kERAeu2zKoqHyRsc,gas,"146,000",clean,automatic,excellent,4 cylinders,fwd,sedan,
Quick Moving * 2016 Subaru WRX sports PKG . 6 speed manual*Clean Title,"$15,500",Surrey,https://www.craigslist.org/view/d/surrey-upper-west-quick-moving-subaru/7vUUDc4RGP5qwgGVR3sniy,gas,"170,000",clean,manual,excellent,4 cylinders,4wd,sedan,
2009 Nissan Rogue SL AWD  SUV .. Automatic.. 4 cylinders,"$3,900",Surrey,https://www.craigslist.org/view/d/surrey-upper-west-2009-nissan-rogue-sl/eC3x1VQg8yrQNGeWFqT7BZ,gas,"237,000",clean,automatic,good,4 cylinders,4wd,SUV,
2013 Sprinter 2500 high roof extra long base cargo van camper van,"$1,234",Surrey,https://www.craigslist.org/view/d/surrey-north-2013-sprinter-2500-high/oDzKawhSa9Pwk7S66zPLPz,diesel,"1,234",salvage,automatic,excellent,6 cylinders,rwd,van,white
2017 Subaru Crosstrek  eyesighted  camera AWD SUV 71k Outback Forester,"$11,550",109xx 139a st Surrey,https://www.craigslist.org/view/d/surrey-north-2017-subaru-crosstrek/tT8NwZL61maxFXxgBtNhpx,gas,"71,000",rebuilt,automatic,excellent,4 cylinders,4wd,SUV,grey
2016 Nissan Leaf EV great condition no issue 120kms for full charge,"$6,550",109xx 139a st Surrey,https://www.craigslist.org/view/d/surrey-north-2016-nissan-leaf-ev-great/bc8YnZzAdZ21quL5JGi31Y,electric,"122,000",rebuilt,automatic,excellent,,fwd,hatchback,grey
Volvo V70 wagon Awd turbo clean luxury,"$2,750",delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-volvo-v70-wagon-awd-turbo/wiYe4Wq6u3kZWkbi6pHD9o,gas,"50,000",clean,automatic,,,,wagon,
*** CLASSIC C4 CORVETTE -REMOVABLE TARGA TOP ***,"$12,500",Vancouver,https://www.craigslist.org/view/d/vancouver-classic-c4-corvette-removable/gHehYwSpcxGhCyEw4ki69N,gas,"157,400",clean,automatic,good,8 cylinders,rwd,coupe,grey
2014 Chevrolet Cruze LT,"$9,995",Surrey,https://www.craigslist.org/view/d/surrey-2014-chevrolet-cruze-lt/f5pymwtjH83mq7mWs853FL,gas,"89,640",clean,automatic,,,,sedan,
